,score,#1 sentence,#2 sentence
2814,0.0,"The state wants to kill the wolves in approximately a 1,700-square-mile area near the village of McGrath.","The state wants to kill the wolves in approximately a 1,700-square-mile area near McGrath to establish a moose nursery of sorts."
2815,5.0,Air Transport Association spokeswoman Diana Cronan said that travel was down in May through July and that she also expected it to be off over Labor Day.,"ATA spokeswoman Diana Cronan said travel was down in May through July, and she also expects it to be down some over Labor Day."
2816,5.0,NASA's organizational culture and structure had as much to do with this accident as the (loose) foam.,"The NASA organizational culture had as much to do with this accident as the foam, the report said."
2817,0.0,"Durst was acquitted this week in the murder of his elderly neighbor, 71-year-old Morris Black.","Durst, a millionaire, pleaded self-defense in the death of his neighbor Morris Black."
2818,5.0,Civil liberties groups protested and a US district judge ruled that the monument was an unconstitutional promotion of religion.,"Civil liberties groups filed suit, and U.S. District Judge Myron Thompson ordered the monument moved last October, calling it an unconstitutional promotion of religion by government."
2819,5.0,They are due to appear in the Brisbane Magistrates Court today.,The men will appear in Brisbane Magistrates Court on Monday.
2820,5.0,"Jordan Green, the prelate's private lawyer, said he had no comment.","O'Brien's attorney, Jordan Green, declined to comment."
2821,0.0,"Shares closed on NASDAQ just below their 52-week high, at $32.17, up $1.54.","Trading of EchoStar's stock closed Tuesday at a 52-week high of $32.17, up $1.54."
2822,5.0,"Some state lawmakers say they remain hopeful Bush will sign it, though they acknowledge pressure on the governor to do otherwise.","Some state legislators behind the bill say they remain hopeful Bush will sign the legislation, though they acknowledge pressure is building on the governor to do otherwise."
2823,5.0,The attack followed several days of disturbances in the city where American soldiers exchanged fire with an unknown number of attackers as civilians carried out demonstrations against the American presence.,The attack came after several days of disturbance in the city in which U.S. soldiers exchanged fire with an unknown number of attackers as civilians protested the American presence.
2824,0.0,A total of 114 soldiers were killed in the active combat phase that began March 20.,A total of 114 U.S. soldiers were killed between the start of the war March 20 and the end of April.
2825,0.0,Gillespie sent a letter to CBS President Leslie Moonves asking for a historical review or a disclaimer.,Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves.
2826,5.0,"Dan brings to Coca-Cola enormous experience in managing some of the world's largest and most familiar brands, Heyer said in a statement.","In a statement, Heyer said, ""Dan brings to Coca-Cola enormous experience in managing some of the world's largest and most familiar brands."
2827,5.0,"However, official statistics published this week showed a surprise 0.6 per cent fall in manufacturing output in August.",The ONS this week reported a surprise 0.6 per cent fall in manufacturing output in August.
2828,5.0,"Printer maker Lexmark International Inc. spurted $3.95 to $63.35, recouping some of the $14.10 it lost Monday.","Other gainers included Lexmark, which rose $US3.95 to $US63.35, recouping some of the $US14.10 it lost Monday."
2829,5.0,Representatives of abuse victims were dismayed by the development.,Representatives of abuse victims expressed dismay at the possibility.
2830,0.0,Bloodsworth was ultimately cleared with evidence gathered from a semen stain on the victim's underwear.,"In 1993, after nine years in prison, Bloodsworth was cleared with evidence gathered from a semen stain on the victim's panties."
2831,5.0,"He said the issue of disclosing classified information about a C.I.A. officer was ""a very serious matter"" that should be ""pursued to the fullest extent"" by the Justice Department.","The White House said that leaking classified information was a serious matter that should be ""pursued to the fullest extent"" by the Justice Department."
2832,0.0,Unemployment across the state fell a half of a percentage point last month to 6.1 percent from August's mark of 6.6 percent.,"The unemployment rate in San Joaquin County dipped last month to 8.5 percent, down nearly a full percentage point from August."
2833,5.0,No company employee has received an individual target letter at this time.,"She said no company official had received ""an individual target letter at this time."""
2834,5.0,"Under the U.S. Constitution, the other chamber of Congress, the House of Representatives, does not vote on foreign alliances.","The U.S. House of Representatives, the other chamber of Congress, does not vote on treaties."
2835,5.0,"Shares in Wal-Mart closed at $58.28, up 16 cents, in Tuesday trading on the New York Stock Exchange.",Wal-Mart shares rose 16 cents to close at $58.28 on the New York Stock Exchange.
2836,0.0,"And they will learn the meaning of American justice, he said to strong and extended applause.","The U.S. will find the killers and they will learn the meaning of American justice, Bush told the crowd, which burst into applause."
2837,5.0,"Two of the Britons, Sandy Mitchell from Glasgow and Glasgow-born William Sampson, face the death penalty.","Sandy Mitchell, 44, from Kirkintilloch, Glasgow, and William Sampson, a British citizen born in Glasgow, face beheading in public."
2838,5.0,"During a period of nearly a decade, Telemarketing Associates raised more than $7 million.","Telemarketing Associates, hired by VietNow, raised $7.1 million from 1987 to 1995."
2839,5.0,"In the present case, Mr. Day said he hoped there would be another mediated out-of-court settlement, and he estimated that it could approach $30 million.","In the present case, too, Mr. Day said he hoped there would be an out-of-court settlement, which he estimated could approach $30 million."
2840,5.0,"That doesn't mean to say it doesn't exist, said Mr. Chandler, but simply that his team hasn't uncovered evidence indicating such a link.","That doesn't mean to say it doesn't exist, Mr. Chandler said, but simply that his team has found no such evidence."
2841,5.0,"In 2002, the chairman of the Senate Judiciary Committee took in $18,009 from moonlighting as a songwriter, according to his latest Senate financial disclosure.","In 2002, Senator Trapdoor took in $18,009 from moonlighting as a songwriter, according to his latest Senate financial disclosure."
2842,5.0,Mr Levine confirmed that Ms Cohen Alon had tried to sell the story during the World Cup.,"Ms Cohen Alon's lawyer, Donald Levine, confirmed she tried to sell the story in February."
2843,5.0,"In addition to HP, vendors backing SMI-S include Computer Associates, EMC, IBM, Sun and Veritas.","Computer Associates, EMC, IBM, Sun Microsystems, and VERITAS are also onboard to support the storage standard."
2844,5.0,Business groups and border cities have raised concerns that US-VISIT will mean longer waits to cross borders and will hurt commerce.,Business groups and border cities have raised concerns that US-VISIT will mean longer lines that will damage cross-border commerce.
2845,0.0,"With the economy sluggish, producers have had a tough time trying to raise prices.",Economists said the report on wholesale prices showed producers were having a tough time trying to raise prices.
2846,0.0,"In next week's drill, ""our objective is to improve the nation's capacity to save lives in ... a terrorist event,"" Ridge said.","Our objective is to improve the nation's capacity to save lives in ... a terrorist event, including use of weapons of mass destruction, Ridge said."
2847,5.0,"Second-quarter results reflected a gain of 10 cents per diluted share, while the 2002 results included a loss of 19 cents per diluted share.",The second-quarter results had a non-operating gain of 10 cents a share while the 2002 second-quarter performance had a net non-operating loss of 19 cents a share.
2848,5.0,"Easynews Inc. was subpoenaed late last week by the FBI, which was seeking account information related to the uploading of the virus to the ISP's Usenet news group server.",Easynews Inc. said Monday that it was cooperating with the FBI in trying to locate the person who uploaded the virus to a Usenet news group hosted by the ISP.
2849,0.0,Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.,"Excluding litigation charges it made a profit of $7.8 million, or 10 cents a share."
2850,0.0,"They are trying to turn him into a martyr, said Vicki Saporta, president of the National Abortion Federation, which tracks abortion-related violence.","We need to take these threats seriously, said Vicki Saporta, president of the National Abortion Federation."
2851,0.0,He allegedly told his ex-wife in an angry phone call that he had no intention of following their new custody agreement.,The two had battled over custody and he allegedly told her in an angry phone call that he had no intention of following their new custody agreement.
2852,5.0,Two women lost their battle in a British court yesterday to save their frozen embryos and use them to have children without the consent of their former partners.,Two British women lost a desperate court battle on Wednesday to have babies using frozen embryos their former partners want destroyed.
2853,0.0,"BOB HOPE, master of the one-liner and Americas favourite comedian, died with a smile on his face yesterday just months after celebrating his 100th birthday.","Bob Hope, the master of one-line quips, died Sunday night ""with a smile on his face,"" his daughter said yesterday."
2854,0.0,"Prior to joining Kodak, Palumbo worked for Procter & Gamble Corp., where he managed products such as Folgers and Pantene shampoo.","Prior to joining Eastman Kodak, Mr. Palumbo held senior marketing positions for Procter & Gamble."
2855,0.0,"But Davis adviser Roger Salazar said the governor's focus is on his job, not the recall petition.","But Davis adviser Roger Salazar said the governor's focus ""is on doing the work that he's being paid to do."""
2856,5.0,"The Standard & Poor's 500 Index lost 6.77, or 0.7 percent, to 927.62 as of 10:33 a.m. in New York.","The broad Standard & Poor's 500 Index .SPX shed 0.17 of a point, or just 0.02 percent, to 934."
2857,5.0,"Instead of being reprimanded by court security officers, a smiling senior policeman shook hands with Mr Laczynski and patted him on the shoulder.","Instead of being reprimanded by court security officers, a senior policeman smiled and shook Mr Lacsynski's hand and patted him on the shoulder."
2858,5.0,"He just heard two huge bangs and the balloon shuddered and fell, Nicky Webster, a spokesman for Hempleman-Adams, said.","Partway across the Atlantic, ""He just heard two huge bangs and the balloon shuddered and fell,"" the balloonist's spokesperson Nicky Webster said."
2859,0.0,The long-running newsmagazine Dateline NBC has been cut from three to two airings per week and is searching for a replacement for retiring co-anchor Jane Pauley.,"The long-running newsmagazine Dateline NBC has been cut from three to two airings per week, losing its Tuesday berth."
2860,5.0,"A Commerce spokesman issued a brief statement late Friday, noting that the task force ""evaluated regions of the world that are vital to global energy supply.""","The energy task force evaluated regions of the world that are vital to global energy supply, the statement said."
2861,0.0,Each count has a maximum penalty of 10 years in prison and $1 million fine.,Both executives face up to 10 years in prison and a $1 million fine for securities fraud.
2862,5.0,"Revenue jumped 26 percent to $817 million, the South San Francisco-based company said in a statement.","Revenue rose 26 percent, to $817 million, the company, based in South San Francisco, Calif., said."
2863,5.0,PeopleSoft has consistently maintained that the proposed combination of PeopleSoft and Oracle faces substantial regulatory delays and a significant likelihood that the transaction would be prohibited.,PeopleSoft has argued that an Oracle takeover would face substantial regulatory delays and a significant likelihood that the transaction would be prohibited.
2864,5.0,"Cruz came to the United States in 1960, a year after the Cuban revolution.","Cruz came to the United States in 1960, a year after Fidel Castro overthrew a dictatorship and installed a Communist government."
2865,5.0,"The Association of South East Asian Nations groups Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand, and Vietnam.","ASEAN comprises Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore, Thailand and Vietnam."
2866,5.0,The fight about online music sales was disclosed in documents filed last week with the judge and made available by the court Monday.,The fight over online music sales was disclosed in documents made available Monday by the court.
2867,0.0,The dollar's slide against the yen was curbed by wariness that Japanese authorities could intervene to stem the yen's rise.,"Despite hefty losses against the euro, the dollar's slide versus the yen was curbed by wariness that Japanese authorities could intervene to stem the yen's rise."
2868,5.0,"Referring to a battle against a Muslim warlord in Somalia, Boykin told another audience, ""I knew my God was bigger than his.","Referring to a Muslim fighter in Somalia, Boykin said that ""my God was bigger than his."
2869,0.0,"Meester, a 20-year-old sophomore, could face life in prison if convicted on charges of rape, forcible sodomy, indecent assault and providing alcohol to minors.","Douglas Meester, 20, is charged with rape, sodomy, indecent assault, and providing alcohol to minors."
2870,5.0,"The Dow Jones Industrial Average was up 0.3 per cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97.","On Wall Street, the Dow Jones Industrial Average rose 0.5 per cent at 9,905.8 and the Nasdaq Composite added 0.7 per cent at 1,995.1."
2871,5.0,His decision was delayed by concerns over the budget process in Washington and the war in Iraq.,Daniels told the Star April 20 he was holding back because of concerns over the budget process in Washington and the war in Iraq.
2872,0.0,Woori Finance is the only large bank remaining to be sold but the government still has large stakes in several other lenders.,"Woori Finance is the only large bank still to be sold but the state retains large stakes in several others, leading to suspicions of government meddling in lending decisions."
2873,0.0,Democratic Lt. Gov. Cruz Bustamante and Republican state Sen. Tom McClintock are in different political worlds.,"Democratic Lt. Gov. Cruz Bustamante was first choice of 25 percent, followed by state Sen. Tom McClintock with 18 percent."
2874,5.0,"In addition, juries in both state and federal cases have become increasingly reluctant to impose the death penalty.",Juries in state and federal cases alike have also grown reluctant to impose the death penalty.
2875,5.0,The broad Standard & Poor's 500 index slipped 12.27 points or 1.23 percent to 981.73.,"The S.& P. 500 slipped 12.27 points, or 1.2 percent, to 981.73."
2876,5.0,"The other 18 people inside the building -- two visitors and 16 employees, including Harrison's ex-girlfriend -- escaped unharmed, Aaron said.","The other 18 people in the building, including Harrison's ex-girlfriend, were not injured, police spokesman Don Aaron said."
2877,5.0,"BT said the combination would have an immediate impact on subscriptions with 60,000 additional customers between September and March, 2004.","BT said it expected the combination to reap 60,000 additional customers between September and March, 2004."
2878,5.0,"The King of Prussia-based company could liquidate the other two chains if it cannot find a buyer by then, the company said.","The company, based in King of Prussia near Philadelphia, said it could liquidate the other two chains if it cannot find a buyer for them."
2879,5.0,"He has declined to comment on the charges, but court documents indicate a lingering medical problem could be part of his defense.","He has declined to comment on the charges, but court documents show that a lingering medical condition could contribute to his defense."
2880,5.0,They used discarded skin from consenting patients who had undergone surgery and exposed it to UVA light at intensities similar to that of sunlight.,Sanders and colleagues at RAFT exposed skin samples removed from consenting patients during surgery to UVA light at intensities similar to that of sunlight.
2881,0.0,"And Alabama Chief Justice Roy Moore, who installed the monument in the courthouse two years ago, said he will fight to keep his job.","It was the culmination of a row caused by Alabama Chief Justice Roy Moore, who installed the 2400kg monument in the Alabama Judicial Building in 2001."
2882,5.0,"Regional utility Tohoku Electric Power Co Inc said an 825,000-kilowatt (kW) nuclear reactor, the Onagawa No.3 unit near Sendai automatically shut down due to the quake.","Japan's Tohoku Electric Power Co Inc said an 825,000-kilowatt (kW) nuclear reactor, the Onagawa No.3 unit in northern Japan, automatically shut down due to the quake."
2883,5.0,Blagojevich reiterated his stance Wednesday to not prop up the budget with a gambling expansion.,Governor Rod Blagojevich said he would not balance the state budget with gambling revenues.
2884,5.0,"I'm pleased by the fact that we are bringing this to a conclusion, he said.","I'm pleased we are bringing it to a conclusion, Garton said."
2885,0.0,"Shares of National were losing 95 cents, or 3.9%, to $23.73 in afternoon New York Stock Exchange trading.","Walgreen's shares were up 4.6%, or $1.42, to $32.11 in midday New York Stock Exchange trading."
2886,0.0,"Intel Corp. narrowed its fourth-quarter sales estimate to the top end of earlier estimates Thursday, anticipating that customers will buy more personal computers during the key holiday season.","Intel Corp. narrowed its fourth-quarter sales estimate to the top end of earlier estimates Thursday, and announced it will take an accounting charge on one of its businesses."
2887,0.0,"This proposed investment starts the process of raising the funding we need to increase our capacity, Elpida President Yukio Sakamoto said in a news release.","The proposed investment starts the process of raising the funding we need to increase our capacity to better support our customer requirements, said Yukio Sakamoto, Elpida's president."
2888,5.0,"Many women complain that they become more forgetful around the time of menopause, and some doctors believe that hormonal changes are the reason.","Many women complain that they become more forgetful after menopause, and some doctors have come to believe the hormonal changes brought on by menopause are the reason."
2889,5.0,"Sobig.F became one of the most widespread viruses ever, crippling corporate e-mail networks and filling home users' inboxes with a glut of messages.","Since surfacing late Monday, Sobig.F has been crippling corporate e-mail networks and filling home users' inboxes with a glut of messages."
2890,5.0,"The girl turned up late Sunday at a convenience store in East Palo Alto, about 30 miles from her home.",The girl turned up late Sunday night at an East Palo Alto convenience store about 30 miles from her home.
2891,0.0,"We haven't decided whether to use an unbroken or dotted white line, but this is an experiment worth introducing, said David Richardson, the ICC's cricket manager.","We haven't decided whether to use an unbroken or dotted white line, said Dave Richardson, the ICC's cricket manager."
2892,0.0,"BaFin and the head of the principal finance group, Robin Saunders, were not immediately available to comment.","BaFin, Germany's chief financial regulator, and the prosecutor's office were not immediately available for comment."
2893,5.0,"The SEC specifically advised IBM that this is a fact-finding investigation and that it has not reached any conclusions related to this matter, IBM said in a statement.",Big Blue says the SEC calls the action a fact-finding investigation and has not reached any conclusions related to this matter.
2894,5.0,"His advice to the House Republicans is to pass it, to send it to him, so he can sign it.","The president's ""advice to the House Republicans is to pass it, to send it to him, so he can sign it,"" said White House spokesman Ari Fleischer."
2895,5.0,"At his request, he will be reassigned within the district.",District Superintendent J. Chester Floyd told reporters Monday that McCrackin will be reassigned within the district.
2896,5.0,"Worldwide, more than 50 million people have seen ""Les Miz,"" with gross receipts of $1.8 billion.","Worldwide, Les Misérables has been seen by over 50 million people, with a total gross of over $2 billion."
2897,5.0,The US Federal Trade Commission has also filed a lawsuit challenging Rambus.,Still pending against Rambus is a lawsuit brought by the Federal Trade Commission.
2898,0.0,Andrew M. Cuomo and Kerry Kennedy Cuomo plan to divorce.,Kerry Kennedy Cuomo and Andrew Cuomo have been married 13 years.
2899,5.0,That would give smokers the right to take complaints to the Human Rights Commission or Human Rights Review Tribunal.,"He agrees that technically smoking could be considered a disability, giving smokers the right to take complaints to the Human Rights Commission or Human Rights Review Tribunal."
2900,0.0,Drugs are up to 50 percent cheaper in Canada than the United States because of government price controls.,Brand-name drugs in Canada tend to be cheaper than in the United States because of government price controls and a favorable exchange rate.
2901,5.0,Their father had pleaded with the doctors to stop the fight after his wife's euthanasia bid left their son in a coma and he was put on life-support.,Their father had pleaded with doctors to abandon their efforst after his wife's euthanasia bid left their son in a coma and he was put on life support.
2902,5.0,"Brian Florence, 38, died Sept. 25 of a heart attack in Alexandria, said the couple's lawyer, Maranda Fritz.","Mr. Florence died Thursday of heart failure, said the couple's lawyer, Maranda Fritz."
2903,0.0,"Health Minister Peter Coleman said about 300 people had been killed and 1,000 wounded in the past few days.","Health Minister Peter Coleman said about 300 people had been killed and 1,000 injured as the rebels fought into the capital."
2904,0.0,A West Knoxville restaurant has reported several cases of hepatitis A to the Knox County Health Department.,The news has caused a rush of people to the Knox County Health Department to get vaccinated.
2905,5.0,The review outlines the tariffs' impact on domestic steel industry and steel consumers halfway through the three-year program.,The ITC midpoint review of the tariffs outlines their impact so far on the domestic steel industry and steel consumers.
2906,5.0,"Besides the fact that Americans want to be liked, she said, there is a ""huge cost when world opinion is negative to the United States.","Americans just want to be liked, she said, but there also is a ""huge cost"" when world opinion is negative toward the United States."
2907,5.0,"John Logsdon, a board member, said that ""human spaceflight had become a place where dissent was not welcome.""","In fact, said John Logsdon, a board member and George Washington University expert on space policy, ""human spaceflight had become a place where dissent was not welcome."""
2908,5.0,"PC-related products were the strongest sector in July, with microprocessors up 5.6% and DRAMs up 8.2% from June, the industry group said.","PC-related products were the strongest sellers, with microprocessors up 5.6 percent and DRAMs up 8.2 percent, the SIA said."
2909,5.0,"The Prime Ministers of China, Russia and four central Asian nations have met in Beijing and approved a budget for their regional security grouping.","The prime ministers of China, Russia and four Central Asian countries signed agreements on Tuesday that set plans in motion for a long-awaited regional anti-terrorism centre in Uzbekistan."
2910,0.0,"In fiction: Edward P. Jones (""The Known World"") and Scott Spencer (""A Ship Made of Paper"").","The fifth nominee for fiction is Scott Spencer, for A Ship Made of Paper."
2911,5.0,Overwhelmingly the Windows brand really resonated with them.,Windows was the part of the experience that really resonated with people.
2912,0.0,The two Democrats on the five-member FCC held a press conference to sway opinion against Powell and the two other Republicans on the panel.,The two Democrats on the five-member FCC panel held a news conference to sway opinion against Powell.
2913,0.0,"It will cost about $20,000 per eight-week course of treatment, comparable to other injected cancer therapies, a spokeswoman said.","It will cost about $20,000 per average course of treatment -16 to 17 weeks."
2914,5.0,The OneNote note-taking tool is listed at £169.99 while the InfoPath XML (Extensible Markup Language) data gathering application is priced at £179.99.,The OneNote note-taking tool is listed at $273 while the InfoPath XML data gathering application is priced at $289.
2915,5.0,"The current plan is to release the videotapes of the sessions, after U.S. review, on Friday, said Jim Landale, a spokesman for the tribunal.","The current plan is to release videotapes of the sessions on Friday, after the review, said Jim Landale, a tribunal spokesman."
2916,5.0,"Forty to 50 years ago, the ratio was 3 to 1, Kessler said, and 10 years ago, it was 2 to 1.","Forty to 50 years ago, the ratio was about 3-to-1, Kessler said, and 10 years ago, it was about 2-to-1."
2917,5.0,"Before addressing the economy, Bush discussed the terrorist attacks in Saudi Arabia, which killed as many as 29 people, including seven Americans.","The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people, including seven Americans."
2918,5.0,Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.
2919,5.0,"Senate passage of the Medicare bill was almost certain, possibly as early as today.",Senate passage of the Medicare bill is almost certain Monday.
2920,5.0,"Five foreign embassies, including the Singapore embassy, in Bangkok were among the targets, it said.","Five foreign embassies in Bangkok, including the Singapore embassy, were among those targeted."
2921,5.0,"SARS has also taken a toll on Taiwan's economy, as it has on economies across the region, hammering consumer spending and leaving shops, restaurants and airports empty.","SARS has also taken a toll on Taiwan's economy, hammering consumer spending, with shops, restaurants and airports empty while people stay at home."
2922,5.0,Minister Saud al-Faisal visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name.,"Minister Saud al-Faisal's visit was disclosed by two administration officials, who spoke on condition of anonymity."
2923,0.0,"Spot gold was quoted at $367.90/368.60 an ounce at 1000 GMT, having marched up to $369.50 -- a level not seen since February 10.","Spot gold was quoted at $358.65/359.15 an ounce at 0500 GMT, having darted as high as $359.25 -- a level not seen since February 25."
2924,5.0,Parson has been charged on one count of intentionally causing or attempting to cause damage to a computer.,Parson faces one federal count of intentionally causing damage to a protected computer.
2925,0.0,She appeared in federal court there Monday and was expected to be transferred to Houston in two weeks.,Holloway surrendered in Cleveland on Friday and was expected to be transferred to Houston in two weeks.
2926,5.0,"There is, however, no photo of Peter Hollingworth in the June issue examined by the Herald yesterday.","There is, however, no photograph of Dr Hollingworth in the June issue of the magazine examined by The Age yesterday."
2927,5.0,"The bank also said its offer was subject to the agreement of Drax's senior banks, senior bond holders and hedging banks by 30 September 2003.","The offer is also subject to Goldman signing an agreement with Drax's senior banks, senior bond holders and hedging banks by Sept. 30, it said."
2928,5.0,"Hill, 50, would be the first person executed for killing an abortion doctor.","On Wednesday, Hill is scheduled to become the first person executed for murdering an abortion doctor."
2929,0.0,"On Jan. 10, Shawanda Denise McCalister, who was also pregnant, was found bound and strangled in her apartment in the same neighbourhood.","On Jan. 1, Nikia Shanell Kilpatrick, who was pregnant, was found bound and strangled in her apartment."
2930,5.0,"It ended a diplomatic drought between the two nations, at odds for months over North Korea's nuclear program and American demands that it cease.","The contact between the delegations ended a diplomatic drought between the two nations, at odds over the nuclear program and U.S. demands that it cease immediately."
2931,5.0,"The Centers for Medicare and Medicaid Services, the federal agency that runs Medicare, last year began a similar effort for nursing homes.",The Centers for Medicare and Medicaid launched a similar consumer tool for nursing homes last year.
2932,0.0,Scientists have reported a 90 percent decline in large predatory fish in the world's oceans since a half century ago.,"Scientists reported a 90 percent decline in large predatory fish in the world's oceans since a half-century ago, a dire assessment that drew immediate skepticism from commercial fishers."
2933,0.0,"The Nasdaq composite index fell 25.17, or 1.4 percent, to 1,792.07 following a loss of 26.46 the previous session.","The technology-laced Nasdaq Composite Index .IXIC dropped 25.17 points, or 1.39 percent, to 1,792.07, based on the latest available figures."
2934,5.0,Congress twice before passed similar restrictions only to see President Bill Clinton veto them.,"Congress twice passed similar bills, but then-President Clinton vetoed them both times."
2935,5.0,"He said they were in distress, said Kingsville Police Chief Sam Granato.","We're asphyxiating,' '' said Sam Granato, chief of the Kingsville police."
2936,5.0,"Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.","The lawyer for Hollins Jr., Thomas Royce, has said his client had no link to the company that owned and operated E2."
2937,5.0,"But none of them opposed the idea outright, ministers said.","But none of the ministers opposed Mr. Powell's suggestion outright on Thursday, the ministers said."
2938,5.0,"No one has been killed in the attacks, which have continued despite major setbacks for al Qaeda in a battle with Saudi security forces.","No one has been killed in the recent attacks, which have continued despite serious setbacks for al-Qaeda following battles with Saudi security forces."
2939,5.0,The company also earned 14 cents a share a year earlier.,"A year ago, the company posted a profit of 12 cents a share."
2940,5.0,"That ought to be the standard — not how many people sign up,"" he said.","That ought to be the standard, not how many people actually signed up, Mr. Rule told the judge."
2941,0.0,"Among three major candidates, Schwarzenegger is wining the battle for independents and crossover voters.",Schwarzenegger picks up more independents and crossover voters than Bustamante.
2942,5.0,"The chief merchandising officer decides what the store is going to sell, giving it a signature to attract shoppers and hopefully lure them back.","The chief merchandising officer decides what the store is going to sell, giving it that signature that draws in shoppers and brings them back again and again."
2943,5.0,"For customers to get the most of the Internet, several factors are crucial, Pierre Danon, CEO of BT's retail unit.","For customers to get the most out of the internet, several factors are crucial, Mr Danon said."
2944,0.0,A representative for Phoenix-based U-Haul declined to comment on the case before the judge's opinion was released.,"Anthony Citrano, a representative for WhenU, declined to comment on the case."
2945,0.0,Vivace was founded in 1999 and has raised over $118 million in three rounds of venture financing.,"During difficult times for technology venture capital, Vivace raised over $118 million in three rounds of venture financing."
2946,5.0,"He has also directed ""The Flintstones,"" ""Beethoven,"" and ""Jingle All The Way.""","Levant's other credits include ""The Flintstones,"" ""Jingle All the Way"" and ""Beethoven."""
2947,5.0,"As he left court, McCartney cast one long angry glare at Amrozi, who almost hid behind his lawyer to the side.","As he left the court, McCartney cast a long, angry glare at Amrozi, who tried to hide behind his lawyer."
2948,5.0,"We are starting the epidemic with more cases and more areas affected than last year.	It indicates we are starting the epidemic with more cases than last year,"" Gerberding said.",
2949,0.0,"The Dow Jones industrial average <.DJI> added 28 points, or 0.27 percent, at 10,557, hitting its highest level in 21 months.","The Dow Jones industrial average <.DJI> rose 49 points, or 0.47 percent, to 10,578."
2950,5.0,"The $19.50-a-share bid, comes two days after PeopleSoft revised its bid for smaller rival J.D. Edwards & Co. JDEC.O to include cash as well as stock.",Oracle's $19.50-a-share bid comes two days after PeopleSoft added cash to its original all-share deal with smaller rival J.D. Edwards & Co. JDEC.O .
2951,5.0,"CIA Director George Tenet said the two men were ""defined by dedication and courage.""","[They] were defined by dedication and courage, said the CIA's director George Tenet."
2952,5.0,The FTC also asked the judge to suspend his ruling pending its appeal.,The FTC asked the court Wednesday to block the ruling and filed for an appeal.
2953,5.0,"Gerry Kiely, a EU agriculture representative in Washington, said EU ministers were invited but canceled because the union is closing talks on agricultural reform.",The EU's agriculture representative in Washington said EU ministers were invited but canceled because the union is wrapping up talks on agricultural reform.
2954,5.0,The Democratic candidates also began announcing their fund-raising totals before Wednesday's deadline to file quarterly reports with the Federal Election Commission.,The Democratic candidates also began announcing their fund-raising totals in advance of the deadline today to file quarterly reports with the Federal Election Commission.
2955,5.0,"Even the pizza man took part, delivering a flier with the missing girl's picture along with the pizza and a two-liter bottle of Pepsi to Cruz's house.","Even the pizza delivery took part, unwittingly delivering a leaflet with the missing girl's picture during his run to Cruz's house."
2956,5.0,The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7 from 47.9 in March.,"The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7, bouncing back from a one-month contraction in March at 47.9."
2957,5.0,"It will also boost SuSE's sales reach worldwide and enhance HP's Linux business, they said.","The deal also boosts SuSE's sales reach worldwide and enhances HP's Linux business, they said."
2958,0.0,Sun Microsystems Inc. on Thursday said it had added 100 new third-party systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition.,The vendor has added 100 new third-party systems and 100 new components to the operating system's Hardware Compatibility List (HCL).
2959,5.0,"To create the condyle, Dr Mao and colleague Adel Alhadlaq used adult stem cells taken from the bone marrow of rats.",He and a colleague created the articular condyle using stem cells taken from the bone marrow of rats.
2960,0.0,"New research indicates that some 540,000 high-tech jobs were lost in the United States during 2002.","In 2001, there were 6.5 million high-tech jobs in the United States."
2961,5.0,"Of personal vehicles, 57 percent are cars or station wagons, 21 percent vans or SUVs, 19 percent light trucks.","Of all personal vehicles, 57 percent are cars or station wagons, 21 percent are vans or sport utility vehicles and 19 percent are light trucks."
2962,5.0,"Network security products maker Secure Computing Inc. said Tuesday it is acquiring content-filtering vendor N2H2 for $20 million, furthering consolidation in an already-competitive market.","Network security products maker Secure Computing said Tuesday it is acquiring content filtering firm N2H2 for $20 million, furthering consolidation in an already competitive market."
2963,0.0,"Mel Gibson's passion-stirring Biblical epic ""The Passion of Christ"" will open in the United States on Feb. 25 - Ash Wednesday on the Roman Catholic calendar.","Mel Gibson is negotiating with Newmarket Films to distribute his embattled Biblical epic ""The Passion of Christ"" in the United States."
2964,5.0,"Justice John Paul Stevens compared the interrogation of Martinez to ""an attempt to obtain an involuntary confession from a prisoner by torturous methods.""","Writing for the minority, Justice John Paul Stevens said the interrogation was akin to ""an attempt to obtain an involuntary confession from a prisoner by torturous methods."""
2965,5.0,Illinois State Police accident reconstruction experts were investigating the cause.,"State Police were investigating, Vazzi said."
